GeneMasterName,GeneFullName,ClinVarGene ID,Location,Chromosome,ChromosomeArm,NumExons,NumBases,NumAminoAcids,GeneType,Mechanism,Pathway,PathwayGraphic,VariantLevelRisk,GraphicGene,GraphicProtein,GeneInteraction,urlGenecards,urlGenereviews,urlOMIM,RefSeqID1,RefSeqID2,Childhood,RecessiveConditionAlso,Preimplant_PrenatalDx,In_Ask2meWebsite,MedNeon,In_Invitae84,Ambry,Myriad_MyRisk,Geisinger,ACMG,ACMG_3_Dec2021,Helix,Completed,Inheritance,Check,DiseaseTypeMaster,SPANISH_GeneType,CHINESE_GeneType,SPANISH_Mechanism,CHINESE_Mechanism,PreImplantationTesting,NCCN_GuidelinesDec2021,Notes
TGFBR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,Cardiomyopathy,,,,,,,
TGFBR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,Cardiomyopathy,,,,,,,
APC,APC regulator of WNT signaling pathway,324,5q22.2,5,Q,18,138742,2843,tumor suppressor,"APC functions as an antagonist to the Wnt (Wingless-related integration site) signaling pathway. It regulates cell division, adhesion, migration, and apoptosis, among other processes.",,,,,,,#http://www.genecards.org/cgi-bin/carddisp.pl?gene=APC#,#https://www.ncbi.nlm.nih.gov/gene/324#,#http://www.omim.org/entry/611731#,NM_000038,NM_001127511,1,,,1,,1,1,1,1,1,1,,1,Mono,UpdateWebsite,Cancer,supresor tumoral,肿瘤抑制,"APC funciona como un antagonista de la vía de señalización WNT (sitio de integración relacionado con Wingless). Regula la división celular, la adhesión, la migración y la apoptosis, entre otros procesos.",APC对Wnt（Wingless相关整合位点）信号通路起到拮抗作用。在其他过程中，他调整细胞增值、粘着、迁移和凋亡,,1,
ATM,Ataxia Telangiectasia Mutated,472,11q22.3,11,Q,69,146619,3056,Protein Coding,ATM encodes a phosphorylating cell cycle checkpoint kinase in the PI3/PI4-kinase family which regulates downstream tumor suppressor proteins. It is involved with the cellular response to DNA damage.,,,,,,,#http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM#,#https://www.ncbi.nlm.nih.gov/gene/472#,#http://www.omim.org/entry/607585#,NM_000051,,,1,,1,,1,1,1,,,,,1,Mono,UpdateWebsite,Cancer,,,ATM codifica un kinasa fosforilante del punto de control del ciclo celular en la familia de quinasas PI3/PI4 que regula las proteínas supresoras tumorales aguas abajo. Está involucrado con la respuesta celular al daño del ADN.,ATM编码磷酸化PI3 / PI4 激酶家族中的细胞周期关卡激酶。这种激酶调节下游肿瘤抑制蛋白。ATM参与细胞对DNA损伤的应答过程。,,1,
BARD1,BRCA-Associated RING Domain 1,580,2q35,2,Q,13,84066,777,Protein Coding,"The protein product of BARD1 forms a heterodimer with BRCA1 at the N-terminal to regulate various processes, including transcriptional regulation, DNA damage repair, and ubiquitination.",,,,,,,#http://www.genecards.org/cgi-bin/carddisp.pl?gene=BARD1#,#https://www.ncbi.nlm.nih.gov/gene/580#,#http://www.omim.org/entry/601593#,NM_000465,,,,,1,,1,1,1,,,,,1,Mono,UpdateWebsite,Cancer,,,"El producto proteico de BARD1 forma un heterodímero con BRCA1 en el N-terminal para regular varios procesos, incluyendo la regulación transcripcional, la reparación del daño del ADN y la ubiquitinación.",BARD1的蛋白质产物与BRCA1在N端组成了一个异源二聚体。这个二聚体调节包括转录调节、DNA损伤修复以及泛素化在内的多种过程。,,1,
BMPR1A,Bone Morphogenetic Protein Receptor Type 1A,657,10q23.2,10,Q,15,177053,532,Protein Coding,BMPR1A encodes transmembrane serine/threonine kinases which repress the Wnt (Wingless-related integration site) signaling pathway.,,,,,,,#http://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR1A#,#https://www.ncbi.nlm.nih.gov/gene/657#,#http://www.omim.org/entry/601299#,NM_004329,,1,,,1,,1,1,,1,1,1,,1,Mono,UpdateWebsite,Cancer,,,BMPR1A codifica quinasas transmembranas de serina/treonina que reprimen la vía de señalización WNT (sitio de integración relacionado con Wingless).,BMPR1A编码跨膜丝氨酸/苏氨酸激酶。这种激酶能够抑制Wnt（Wingless相关整合位点）信号通路,,1,
BRCA1,Breast Cancer 1 Early Onset Protein,672,17q21.31,17,Q,24,125951,1863,tumor suppressor,"The protein product of BRCA1 is a nuclear phosphoprotein which forms the BRCA1-associated genome surveillance complex (BASC) with other proteins and can also form a heterodimer with BARD1. BRCA1 helps regulate the cell cycle and plays a role in homologous recombination repair of double-stranded DNA breaks, transcription, recombination, and ubiquitination.",,,,,,,#http://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1#,#https://www.ncbi.nlm.nih.gov/gene/672#,#http://www.omim.org/entry/113705#,NM_007294,,,1,,1,,1,1,1,1,1,1,1,1,Mono,UpdateWebsite,Cancer,supresor tumoral,肿瘤抑制,El producto proteico de BRCA1 es una fosfoproteína nuclear que forma el complejo de la vigilancia del genoma asociado a BRCA1 (BASC) con otras proteínas y también puede formar un heterodímero con BARD1. BRCA1 ayuda a regular el ciclo celular y desempeña u,BRCA1的蛋白质产物是与其他蛋白质形成BRCA1相关基因组监控复合物（BASC）的核磷蛋白。它也可以与BARD1形成异二聚体。BRCA1有助于调节细胞周期，并在双链DNA断裂的同源重组修复，转录，重组和泛素化过程中发挥作用。,1,1,
EGFR,Epidermal Growth Factor Receptor,1956,7p11.2,7,P,28,192612,1210,protein coding,"The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kinase superfamily. This protein is a receptor for members of the epidermal growth factor family. EGFR is a cell surface protein that binds to epidermal growth factor. Binding of the protein to a ligand induces receptor dimerization and tyrosine autophosphorylation and leads to cell proliferation. Mutations in this gene are associated with lung cancer. EGFR is a component of the cytokine storm that sometimes results from a severe form of human infection of SARS-CoV-2 (severe acute respiratory syndrome coronavirus-2). [provided by RefSeq, Jun 2020]",,,,,,"EGF, EREG, KRAS, HRAS, SHC1, PTPN11, GRB2, STAT3, CBL, TGFA",https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR&keywords=egfr#summaries,,https://omim.org/entry/131550?search=egfr&highlight=egfr#geneStructure,,,,,,,1,1,1,,,,,,1,Mono,UpdateWebsite,Cancer,,,,,,,
FH,Fumerate Hydratase,2271,1q43,1,Q,10,22153,510,protein coding,"The protein encoded by this gene is an enzymatic component of the tricarboxylic acid (TCA) cycle, or Krebs cycle, and catalyzes the formation of L-malate from fumarate. It exists in both a cytosolic form and an N-terminal extended form, differing only in the translation start site used. The N-terminal extended form is targeted to the mitochondrion, where the removal of the extension generates the same form as in the cytoplasm. It is similar to some thermostable class II fumarases and functions as a homotetramer. Mutations in this gene can cause fumarase deficiency and lead to progressive encephalopathy. [provided by RefSeq, Jul 2008]",,,,,,"SDHC, SDHB, SDHD, SDHA, ATP5D, SUCLG1, SUCLA2, NDUFS2, NDUFS3, CYCS",https://www.genecards.org/cgi-bin/carddisp.pl?gene=FH&keywords=fh,,https://omim.org/entry/136850?search=fh&highlight=fh,,,1,1,,,1,1,1,,,,,,,Mono,,Cancer,,,,,,1,
FLCN,Folliculin,201163,17p11.2,17,P,18,"30,243",579,protein coding,FLCN encodes a tumor suppressor involved in the AMPK and mTOR pathways,,,,,,"RRAGC, FNIP1, RRAGC, FNIP2",,,,,,1,,,,1,1,1,,,,,,,Mono,,Cancer,,,,,,1,
GATA2,GATA Binding Protein 2,2624,3q21.3,3,Q,7,13780,480,protein coding,"This gene encodes a member of the GATA family of zinc-finger transcription factors that are named for the consensus nucleotide sequence they bind in the promoter regions of target genes. The encoded protein plays an essential role in regulating transcription of genes involved in the development and proliferation of hematopoietic and endocrine cell lineages. Alternative splicing results in multiple transcript variants.[provided by RefSeq, Mar 2009].GATA2 encodes a transcription factor that regulates transcription of genes involved in development and proliferation of hematopoietic and endocrine cells.",,,,,,"HDAC3, JUN, ZFPM2, ZFPM1, RUNX1, LMO2, TAL1",https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA2&keywords=gata2#summaries,,https://omim.org/entry/137295?search=gata2&highlight=gata2#geneStructure,,,,,,,1,1,,,,,,,,Mono,,Cancer,,,,,,1,
POLE,"DNA Polymerase Epsilon, Catalytic Subunit",5426,12q24.33,12,Q,52,63772,2286,,"POLE codes for the catalytic subunit of DNA polymerase epsilon, which is essential for DNA replication.",,,,,,,#http://www.genecards.org/cgi-bin/carddisp.pl?gene=POLE#,#https://www.ncbi.nlm.nih.gov/gene/5426#,#http://www.omim.org/entry/174762#,NM_006231,,,1,,1,,1,1,1,,,,,1,Mono,UpdateWebsite,Cancer,,,"POLE codifica la subunidad catalítica del ADN polimerasa épsilon, que es esencial para la replicación del ADN.",POLE编码DNA聚合酶ε的催化亚基，其在DNA复制过程中是十分重要的。,,1,
PTEN,Phosphatase and Tensin Homolog,5728,10q23.31,10,Q,10,108818,403,tumor suppressor,"PTEN codes for a phosphatase which is an antagonist for intracellular phosphatidylinositol-3,4,5-triphosphate levels and for the AKT/PKB signaling pathway. It is involved in cellular migration, adhesion, and angiogenesis.",,,,,,,#http://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN#,#https://www.ncbi.nlm.nih.gov/gene/5728#,#http://www.omim.org/entry/601728#,NM_000314,,1,,,1,,1,1,1,1,1,1,,1,Mono,UpdateWebsite,Cancer,supresor tumoral,肿瘤抑制,"PTEN codifica para una fosfatasa que es un antagonista para los niveles intracelulares de fosfatidilinositol-3,4,5-trifosfato y para la vía de señalización AKT/PKB. Está involucrado en la migración celular, la adhesión y la angiogénesis.","PTEN编码磷酸酶，其是细胞内磷脂酰肌醇-3,4,5-三磷酸酯水平和AKT/PKB信号传导途径的拮抗剂。它参与细胞迁移，粘附和血管生成。",1,1,
RAD50,RAD50 Double Strand Break Repair Protein,10111,5q31.1,5,Q,25,90326,1312,,"The protein product for RAD50 forms the MRN complex with MRE11 and NBS1. It plays a role in nonhomologous repair of double-stranded DNA breaks, as well as serving as a checkpoint in the cell cycle.",,,,,,,#http://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD50#,#https://www.ncbi.nlm.nih.gov/gene/10111#,#http://www.omim.org/entry/604040#,NM_005732,,,1,,1,,1,1,,,,,,1,Mono,UpdateWebsite,Cancer,,,"El producto proteico de RAD50 forma el complejo MRN con MRE11 y NBS1. Desempeña un papel en la reparación no homóloga de roturas bicatenarias del ADN, además de servir como punto de control en el ciclo celular.",RAD50的蛋白质产物与MRE11和NBS1形成MRN复合物。它在双链DNA断裂的非同源修复中发挥作用，并且是细胞周期中起检查点。,,9,
RAD51,RAD51 Recombinase,5888,15q15.1,15,Q,14,37566,339,,,,,,,,,#http://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51#,#https://www.ncbi.nlm.nih.gov/gene/5888#,#http://www.omim.org/entry/179617#,NM_002875,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
RAD51C,RAD51 Paralog C,5889,17q22,17,Q,13,43076,376,,"The protein product of RAD51C is pivotal in homologous recombination repair of double-stranded DNA breaks. In collaboration with other proteins, it plays a role in Holliday junction resolution.",,,,,,,#http://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51C#,#https://www.ncbi.nlm.nih.gov/gene/5889#,#http://www.omim.org/entry/602774#,NM_058216,,,1,,1,,1,1,1,,,,,1,Mono,UpdateWebsite,Cancer,,,"El producto proteico de RAD51C es fundamental en la reparación de recombinación homóloga de roturas bicatenarias del ADN. En colaboración con otras proteínas, juega un papel en la resolución de la unión de Holliday.",RAD51C的蛋白质产物在双链DNA断裂的同源重组修复中起关键作用。它与其他蛋白质共同作用，在Holliday交叉的解离过程中起作用。,,1,
RAD51D,RAD51 Paralog D,5892,17q12,17,Q,11,29315,328,,"The protein product of RAD51D is pivotal in homologous recombination repair of double-stranded DNA breaks. In collaboration with other proteins, it plays a role in Holliday junction resolution.",,,,,,,#http://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51D#,#https://www.ncbi.nlm.nih.gov/gene/5892#,#http://www.omim.org/entry/602954#,NM_002878,,,1,,1,,1,1,1,,,,,1,Mono,UpdateWebsite,Cancer,,,"El producto proteico de RAD51D es fundamental en la reparación de recombinación homóloga de roturas bicatenarias del ADN. En colaboración con otras proteínas, juega un papel en la resolución de la unión de Holliday.",RAD51D的蛋白质产物在双链DNA断裂的同源重组修复中起关键作用。它通过与其他蛋白质共同作用，在Holliday交叉的解离过程中起作用。,,1,
RHBDF2,Rhomboid 5 Homolog 2,79651,17q25.1,17,,,30900,856,,"RHBDF2 (Rhomboid 5 Homolog 2) is a Protein Coding gene. Diseases associated with RHBDF2 include Tylosis With Esophageal Cancer and Palmoplantar Keratoderma, Nonepidermolytic, Focal 1. Gene Ontology (GO) annotations related to this gene include serine-type endopeptidase activity and growth factor binding. An important paralog of this gene is RHBDF1.",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHBDF2&keywords=RHBDF2#summaries,,https://omim.org/entry/614404?search=RHBDF2&highlight=rhbdf2,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
SMAD4,SMAD Family Member 4,4089,18q21.2,18,Q,12,56652,552,,"SMAD4 codes for a signal transduction protein in the SMAD family, which is activated by transmembrane serine-threonine kinases. SMAD4 conglomerates with other SMAD proteins, building up in the nucleus. SMAD4 also helps regulate cell growth and proliferati",,,,,,,#http://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4#,#https://www.ncbi.nlm.nih.gov/gene/4089#,#http://www.omim.org/entry/600993#,NM_005359,,1,,,1,,1,1,1,1,1,1,,1,Mono,UpdateWebsite,Cancer,,,"SMAD4 codifica una proteína de transducción de señales en la familia SMAD, que se activa mediante quinasas transmembranas de serina-treonina. SMAD4 conglomera con otras proteínas SMAD y se acumula en el núcleo. SMAD4 también ayuda a regular el crecimiento",SMAD4编码SMAD家族中的信号转导蛋白，其由跨膜丝氨酸-苏氨酸激酶激活。SMAD4与其他SMAD蛋白质在细胞核中聚集在一起。SMAD4还有助于调节细胞生长和增殖。,,1,
STK11,Serine/Threonine Kinase 11,6794,19p13.3,19,P,13,50878,433,tumor suppressor,"STK11 codes for a serine/threonine protein kinase which regulates AMP-activated protein kinases. As a result, STK11 plays a role in controlling cell apoptosis, division, metabolism, and polarization, along with DNA damage repair.",,,,,,,#http://www.genecards.org/cgi-bin/carddisp.pl?gene=STK11#,#https://www.ncbi.nlm.nih.gov/gene/6794#,#http://www.omim.org/entry/602216#,NM_000455,,1,,,1,,1,1,1,1,1,1,,1,Mono,UpdateWebsite,Cancer,supresor tumoral,肿瘤抑制,"STK11 codifica una kinasa proteica de serina/treonina que regula las quinasas proteicas activadas por AMP. Como resultado, STK11 desempeña un papel en el control de la apoptosis celular, división, metabolismo y polarización, junto con la reparación del da",STK11编码调节AMP活化的蛋白激酶的丝氨酸/苏氨酸蛋白激酶。因此，STK11在调控细胞凋亡，分裂，代谢和极化以及DNA损伤修复方面发挥着重要作用。,,1,
TP53,Tumor Protein P53,7157,17p13.1,17,P,12,25772,393,tumor suppressor,"TP53 codes for a regulatory protein which controls expression of other genes. In this capacity, TP53 plays a role in the cell cycle, apoptosis, DNA repair, cell metabolism, and cellular senescence.",,,,,,,#http://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53#,#https://www.ncbi.nlm.nih.gov/gene/7157#,#http://www.omim.org/entry/191170#,NM_000546,,1,,,1,,1,1,1,1,1,1,,1,Mono,UpdateWebsite,Cancer,supresor tumoral,肿瘤抑制,"TP53 codifica una proteína reguladora que controla la expresión de otros genes. En esta capacidad, TP53 desempeña un papel en el ciclo celular, la apoptosis, la reparación del ADN, el metabolismo celular y la senescencia celular.",TP53编码控制其他基因表达的调控蛋白。通过该功能，TP53在细胞周期，凋亡，DNA修复，细胞代谢和细胞衰老中起作用。,1,1,
HOXB13,Homeobox B13,10481,17q21.32,17,Q,3,"3,988",284,Protein Coding,"This gene encodes a transcription factor that belongs to the homeobox gene family. Genes of this family are highly conserved among vertebrates and essential for vertebrate embryonic development. This gene has been implicated to play a role in fetal skin development and cutaneous regeneration. In mice, a similar gene was shown to exhibit temporal and spatial colinearity in the main body axis of the embryo, but was not expressed in the secondary axes, which suggests functions in body patterning along the axis. This gene and other HOXB genes form a gene cluster at chromosome the 17q21-22 region.",,,,,,,#http://www.genecards.org/cgi-bin/carddisp.pl?gene=GREM1#,#https://www.ncbi.nlm.nih.gov/gene/26585#,#http://www.omim.org/entry/603054#,NM_013372,,,,,1,,1,1,1,,,,,1,Mono,UpdateWebsite,Cancer,,,"GREM1 codifica una citocina que modifica las vías TGF-Beta/BMP y se cree que está implicada en la carcinogénesis, la organogénesis renal metanefórica, la diferenciación tisular y el patrón corporal. GREM1 es un antagonista de las proteínas morfogénicas ós",GREM1编码修饰TGF-β/BMP通路的细胞因子，并被认为参与致癌，肾后肾器官发生，组织分化和躯体发育模式。GREM1是一种BMP（骨形态发生蛋白）拮抗剂，它在通过传递声波刺猬信号来进行肢体发育中起重要作用。,,1,
RECQL,RecQ like helicase,5965,12p12.1,12,P,15,32760,649,protein coding,"The protein encoded by RECQL is  involved in the processing of Holliday junctions, the suppression of sister chromatid exchanges, telomere maintenance, and is required for genotoxic stress resistance.",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RECQL,https://www.ncbi.nlm.nih.gov/gene/5965,https://www.omim.org/entry/600537?search=RECQL&highlight=recql,NM_002907.4,NM_032941.2,,,,,,,1,,,,,,1,Mono,UpdateWebsite,Cancer,codificación de proteínas,蛋白编码,"La proteína codificada por RECQL está involucrada en el procesamiento de las uniones de Holliday, la supresión de los intercambios de cromátidas hermanas, el mantenimiento de los telómeros y es necesaria para la resistencia al estrés genotóxico.",由RECQL编码的蛋白参与了Holliday交叉、抑制姐妹染色体交换、稳定端粒、拮抗基因毒性应激的过程。,,9,
INSR,insulin receptor,3643,19p13.2,19,P,22,"182,160",1382,protein coding,"This gene encodes a member of the receptor tyrosine kinase family of proteins. The encoded preproprotein is proteolytically processed to generate alpha and beta subunits that form a heterotetrameric receptor. Binding of insulin or other ligands to this receptor activates the insulin signaling pathway, which regulates glucose uptake and release, as well as the synthesis and storage of carbohydrates, lipids and protein. ",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSR&keywords=INSR,https://www.ncbi.nlm.nih.gov/gene/3643,https://omim.org/entry/147670?search=INSR&highlight=insr,,,,,,,,,,,,,,,1,Mono,UpdateWebsite,Cancer,,,,,,,
ASXL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
PHOXB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIM37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
ATP7B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Benign,,,,,,,
RPE65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Benign,,,,,,,
GAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Benign,,,,,,,
HNF1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Benign,,,,,,,
TRDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Benign,,,,,,,
ACVRL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Benign,,,,,,,
TTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Benign,,,,,,,
FLNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Benign,,,,,,,
CASQ2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Benign,,,,,,,
BTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Benign,,,,,,,
"MLH1, MSH2, PMS2, MSH6",LynchGenesMinusEPCAM_ForPrevalenceQueryUse,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,Cancer,,,,,,1,
TSC1/2,_ForPrevalenceQueryUse,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,,,,,Cancer,,,,,,1,
GPC3,Glypican 3,2719,Xq26.2,,Q,11,449872,580,protein coding,"Cell surface heparan sulfate proteoglycans are composed of a membrane-associated protein core substituted with a variable number of heparan sulfate chains. Members of the glypican-related integral membrane proteoglycan family (GRIPS) contain a core protein anchored to the cytoplasmic membrane via a glycosyl phosphatidylinositol linkage. These proteins may play a role in the control of cell division and growth regulation. The protein encoded by this gene can bind to and inhibit the dipeptidyl peptidase activity of CD26, and it can induce apoptosis in certain cell types. Deletion mutations in this gene are associated with Simpson-Golabi-Behmel syndrome, also known as Simpson dysmorphia syndrome. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2009]",,,,,,"ISDC2, IGF2, SHH, NOTUM, GOLM1, AFP, NDST1, SDC1, HSPG2, AGRN",https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPC3&keywords=gpc3#summaries,,https://omim.org/entry/300037?search=gpc3&highlight=gpc3,,,,1,,,1,1,,,,,,,,Mono,,Cancer,,,,,,,
HRAS,GTPase Hras,10481,11p15.5,11,P,2,"5,046",189,protein coding,"HRAS encodes a protein part of the RAS/MAPK pathway. This gene belongs to the Ras oncogene family, whose members are related to the transforming genes of mammalian sarcoma retroviruses. The products encoded by these genes function in signal transduction pathways. These proteins can bind GTP and GDP, and they have intrinsic GTPase activity. This protein undergoes a continuous cycle of de- and re-palmitoylation, which regulates its rapid exchange between the plasma membrane and the Golgi apparatus.",,,,,,"KRAS, EGFR, RALGDS, RASA1, RAF1, BRAF, SOS1, PIK3CG, PIK3CA, MLLT4",#http://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXB13#,#https://www.ncbi.nlm.nih.gov/gene/10481#,#https://www.omim.org/entry/604607#,,,1,,,,1,1,,,,,,,,Mono,,Cancer,supresor tumoral,肿瘤抑制,HOXB13 codifica un factor de transcripción en la familia homeobox que es importante en el desarrollo embrionario y está involucrado en el desarrollo y mantenimiento de la piel. HOXB13 también interactúa con los receptores de andrógenos de próstata.,HOXB13编码同源框家族中的转录因子，该家族在胚胎发育中很重要并且参与皮肤发育/维持。HOXB13也与前列腺雄激素受体相互作用。,,,
